ID	Rec_domain	Curr_domain	Tox_type	unknown_flag	evol_type	signif_flag	omega_b	omega_f	Num_tox	Num_rec_pars	Num_recs_pars_all	best_site_model	Sites_pos	Sites_cons	Sites_rel	Best_branc_site	Brsites_pos	Brsites_cons	Brsites_rel	Passed_flag	Orders_flag	Simpson_species
0	domain3	domain3	Rec	known	non-signif	non-signif	0.33299999999999996	0.679	10	1	2	positive	0	0	0	mB	0	0	0	passed	NA	NA
0	domain3	domain3	Par	known	non-signif	non-signif	0.333	0.685	10	1	2	positive	0	0	0	mB	0	0	0	passed	NA	NA
0	domain3	domain1	Rec	known	non-signif	non-signif	0.162	4.12	7	1	2	relaxation	0	0	1	mB	0	53	0	passed	NA	NA
0	domain3	domain1	Par	known	non-signif	non-signif	0.162	4.12	7	1	2	relaxation	0	0	1	mB	0	53	0	passed	NA	NA
0	domain3	domain2	Rec	known	non-signif	non-signif	0.332	0.752	7	1	4	positive	1	0	0	mB	0	0	0	passed	NA	NA
2	domain3	domain3	Rec	known	non-signif	non-signif	0.23399999999999999	0.235	44	1	18	positive	1	1	0	mB	0	53	0	passed	Different	1.0
2	domain3	domain3	Par	known	purifying	signif	0.216	0.407	44	17	18	positive	1	1	0	mB	2	29	0	passed	Different	1.0
2	domain3	domain2	Rec	known	purifying	non-signif	0.157	0.205	12	1	4	positive	2	0	0	mB	1	31	0	passed	Different	1.0
2	domain3	domain2	Par	known	non-signif	non-signif	0.159	0.244	12	3	4	positive	2	0	0	mB	0	31	0	passed	Different	1.0
3	domain3	domain3	Rec	known	purifying	non-signif	0.546	0.159	8	1	2	positive	1	0	0	mB	0	0	0	passed	NA	NA
3	domain3	domain3	Par	known	purifying	signif	0.548	0.127	8	1	2	positive	1	0	0	mB	0	0	0	passed	NA	NA
3	domain3	domain1	Rec	known	non-signif	signif	0.2	99.0	8	1	2	positive	1	0	0	mB	5	4	0	passed	NA	NA
3	domain3	domain1	Par	known	non-signif	signif	0.2	0.939	8	1	2	positive	1	0	0	mB	3	0	0	passed	NA	NA
3	domain3	domain2	Rec	known	non-signif	signif	0.332	10.985999999999999	8	1	2	positive	1	0	0	mB	0	27	0	passed	NA	NA
3	domain3	domain2	Par	known	non-signif	signif	0.326	99.0	8	1	2	positive	1	0	0	mB	5	16	0	passed	NA	NA
6	domain3	domain3	Rec	known	purifying	signif	0.331	0.054000000000000006	8	1	2	positive	1	0	0	mB	150	0	0	not_passed	Same	0.0
6	domain3	domain3	Par	known	purifying	signif	0.327	0.03	8	1	2	positive	1	0	0	mB	150	0	0	not_passed	Same	0.0
6	domain3	domain1	Rec	known	non-signif	signif	0.39299999999999996	1.508	27	1	2	positive	3	8	0	mB	0	49	0	passed	Same	0.0
6	domain3	domain1	Par	known	non-signif	signif	0.393	99.0	27	1	2	positive	3	8	0	mB	2	47	0	passed	Same	0.0
6	domain3	domain2	Rec	known	non-signif	signif	0.473	1.6369999999999998	8	1	2	positive	3	0	0	mB	0	35	0	passed	Same	0.0
6	domain3	domain2	Par	known	non-signif	non-signif	0.497	0.618	8	1	2	positive	3	0	0	mB	2	43	0	passed	Same	0.0
8	domain3	domain3	Rec	known	non-signif	non-signif	0.345	0.917	10	1	2	positive	4	0	0	mB	168	0	0	not_passed	Same	1.0
8	domain3	domain3	Par	known	non-signif	non-signif	0.329	0.7	10	1	2	positive	4	0	0	mB	1	45	0	passed	Same	1.0
8	domain3	domain1	Rec	known	non-signif	signif	0.27699999999999997	1.296	10	1	2	positive	1	0	0	mB	1	36	0	passed	Same	1.0
8	domain3	domain1	Par	known	non-signif	signif	0.277	1.54	10	1	2	positive	1	0	0	mB	3	40	0	passed	Same	1.0
8	domain3	domain2	Rec	known	non-signif	non-signif	0.39799999999999996	0.26	8	1	2	positive	0	0	0	mB	3	22	0	passed	Same	1.0
8	domain3	domain2	Par	known	purifying	non-signif	0.405	0.23	8	1	2	positive	0	0	0	mB	2	22	0	passed	Same	1.0
10	domain3	domain3	Rec	known	non-signif	non-signif	0.201	99.0	7	1	2	relaxation	0	0	1	mB	147	0	0	not_passed	NA	NA
10	domain3	domain3	Par	known	non-signif	signif	0.143	1.053	7	1	2	relaxation	0	0	1	mB	6	0	0	passed	NA	NA
10	domain3	domain1	Rec	known	non-signif	non-signif	0.151	99.0	7	1	2	relaxation	0	0	1	mB	204	0	0	not_passed	NA	NA
10	domain3	domain1	Par	known	non-signif	non-signif	0.155	67.36	7	1	2	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
10	domain3	domain2	Rec	known	non-signif	non-signif	0.41100000000000003	99.0	7	1	2	positive	3	0	0	mB	230	0	0	not_passed	NA	NA
10	domain3	domain2	Par	known	non-signif	non-signif	0.414	99.0	7	1	2	positive	3	0	0	mB	230	0	0	not_passed	NA	NA
13	domain3	domain3	Rec	known	purifying	non-signif	0.402	0.057999999999999996	8	1	3	positive	3	0	0	mB	0	0	0	passed	NA	NA
13	domain3	domain3	Par	known	non-signif	non-signif	0.381	0.386	8	2	3	positive	3	0	0	mB	0	0	0	passed	NA	NA
13	domain3	domain1	Rec	known	non-signif	signif	0.36	2.306	8	1	2	relaxation	0	0	0	mB	0	0	0	passed	NA	NA
13	domain3	domain1	Par	known	non-signif	non-signif	0.424	0.36	8	1	2	relaxation	0	0	0	mB	0	0	0	passed	NA	NA
13	domain3	domain2	Rec	known	non-signif	non-signif	0.579	0.457	10	1	2	relaxation	0	0	0	mA	0	0	0	passed	NA	NA
13	domain3	domain2	Par	known	non-signif	non-signif	0.595	0.334	10	1	2	relaxation	0	0	0	mB	0	0	0	passed	NA	NA
14	domain3	domain3	Rec	known	non-signif	non-signif	0.285	0.375	19	1	5	relaxation	0	0	1	mB	3	0	0	passed	Different	0.75
14	domain3	domain3	Par	known	non-signif	non-signif	0.259	0.547	19	4	5	relaxation	0	0	1	mB	2	0	0	passed	Different	0.75
14	domain3	domain1	Rec	known	non-signif	non-signif	0.245	0.61	8	1	4	relaxation	0	0	1	mB	1	68	0	passed	Different	0.75
14	domain3	domain2	Rec	known	non-signif	non-signif	0.154	0.496	12	1	4	positive	2	0	0	mB	0	30	0	passed	Different	0.75
14	domain3	domain2	Par	known	non-signif	non-signif	0.15	0.295	12	3	4	positive	2	0	0	mB	2	27	0	passed	Different	0.75
17	domain3	domain3	Rec	known	purifying	non-signif	0.177	0.10400000000000001	11	1	3	positive	1	4	0	mB	0	0	0	passed	Same	0.42857142857142855
17	domain3	domain3	Par	known	purifying	signif	0.198	0.089	11	2	3	positive	1	4	0	mB	0	65	0	not_passed	Same	0.42857142857142855
17	domain3	domain1	Rec	known	non-signif	non-signif	0.201	1.624	41	1	2	relaxation	0	0	1	mB	209	0	0	not_passed	Same	0.42857142857142855
17	domain3	domain1	Par	known	purifying	non-signif	0.204	0.062	41	1	2	relaxation	0	0	1	mB	0	0	0	passed	Same	0.42857142857142855
17	domain3	domain2	Rec	known	purifying	signif	0.38	0.07400000000000001	32	1	3	positive	1	0	0	mB	211	0	0	not_passed	Same	0.42857142857142855
17	domain3	domain2	Par	known	purifying	signif	0.4	0.171	32	2	3	positive	1	0	0	mB	0	42	0	passed	Same	0.42857142857142855
19	domain3	domain3	Rec	known	purifying	non-signif	0.193	0.24	44	1	3	positive	0	10	0	mB	0	52	0	passed	Same	0.3333333333333333
19	domain3	domain3	Par	known	purifying	signif	0.18	0.489	44	2	3	positive	0	10	0	mB	8	49	0	passed	Same	0.3333333333333333
19	domain3	domain1	Rec	known	purifying	signif	0.529	0.0	14	1	2	positive	5	0	0	mB	234	0	0	not_passed	Same	0.3333333333333333
19	domain3	domain1	Par	known	purifying	signif	0.531	0.038	14	1	2	positive	5	0	0	mB	234	0	0	not_passed	Same	0.3333333333333333
19	domain3	domain2	Rec	known	purifying	signif	0.243	0.06	8	1	2	relaxation	0	0	1	mB	0	0	0	passed	Same	0.3333333333333333
19	domain3	domain2	Par	known	purifying	signif	0.242	0.052	8	1	2	relaxation	0	0	1	mB	0	0	0	passed	Same	0.3333333333333333
22	domain2	domain2	Rec	known	non-signif	non-signif	0.429	0.48700000000000004	8	1	2	positive	2	0	0	mB	2	56	0	passed	NA	NA
22	domain2	domain2	Par	known	non-signif	non-signif	0.431	0.256	8	1	2	positive	2	0	0	mB	1	56	0	passed	NA	NA
22	domain2	domain1	Rec	major	non-signif	signif	0.16399999999999998	0.545	8	1	1	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
22	domain2	domain3	Rec	major	purifying	signif	0.322	0.004	8	1	1	positive	6	0	0	mB	3	23	0	passed	NA	NA
23	domain3	domain3	Rec	known	non-signif	non-signif	0.442	0.64	25	1	3	positive	9	1	0	mB	2	38	0	passed	Different	0.0
23	domain3	domain3	Par	known	purifying	signif	0.358	0.721	25	2	3	positive	9	1	0	mB	16	25	0	passed	Different	0.0
23	domain3	domain1	Rec	known	non-signif	non-signif	0.40399999999999997	1.1540000000000001	10	1	2	positive	1	0	0	mB	1	54	0	passed	Different	0.0
23	domain3	domain1	Par	known	non-signif	signif	0.393	3.281	10	1	2	positive	1	0	0	mB	1	53	0	passed	Different	0.0
23	domain3	domain2	Rec	known	non-signif	signif	0.209	0.703	16	1	3	positive	0	13	0	mB	42	28	0	passed	Different	0.0
23	domain3	domain2	Par	known	purifying	non-signif	0.225	0.275	16	2	3	positive	0	13	0	mB	1	43	0	passed	Different	0.0
24	domain3	domain3	Rec	known	purifying	non-signif	0.179	0.078	11	1	2	positive	1	4	0	mB	0	0	0	passed	Different	0.6666666666666666
24	domain3	domain3	Par	known	purifying	non-signif	0.183	0.07	11	1	2	positive	1	4	0	mB	0	1	0	passed	Different	0.6666666666666666
24	domain3	domain1	Rec	known	purifying	non-signif	0.157	0.149	30	1	15	relaxation	0	0	1	mB	0	48	0	passed	Different	0.6666666666666666
24	domain3	domain1	Par	known	purifying	non-signif	0.176	0.141	30	14	15	relaxation	0	0	1	mB	2	27	0	passed	Different	0.6666666666666666
24	domain3	domain2	Rec	known	purifying	non-signif	0.19899999999999998	0.17600000000000002	9	1	6	non-signif	0	86	0	mB	211	0	0	not_passed	Different	0.6666666666666666
27	domain3	domain3	Rec	known	purifying	signif	0.32299999999999995	0.13	8	1	2	positive	1	0	0	mB	0	22	0	passed	Different	1.0
27	domain3	domain3	Par	known	purifying	signif	0.337	0.104	8	1	2	positive	1	0	0	mB	1	24	0	passed	Different	1.0
27	domain3	domain1	Rec	known	non-signif	non-signif	0.168	0.615	12	1	2	relaxation	0	0	1	mB	0	0	0	passed	Different	1.0
27	domain3	domain1	Par	known	non-signif	non-signif	0.168	4.718	12	1	2	relaxation	0	0	1	mB	0	43	0	passed	Different	1.0
27	domain3	domain2	Rec	known	non-signif	non-signif	0.371	6.605	7	1	2	positive	0	0	0	mB	0	0	0	passed	Different	1.0
27	domain3	domain2	Par	known	non-signif	non-signif	0.374	0.231	7	1	2	positive	0	0	0	mB	0	0	0	passed	Different	1.0
28	domain3	domain3	Rec	known	non-signif	signif	0.225	4.447	7	1	2	non-signif	0	0	0	mB	2	18	0	passed	NA	NA
28	domain3	domain3	Par	known	positive	signif	0.197	99.0	7	1	2	non-signif	0	0	0	mB	10	12	0	passed	NA	NA
28	domain3	domain1	Rec	known	non-signif	signif	0.157	1.215	8	1	3	relaxation	0	0	1	mB	0	51	0	passed	NA	NA
28	domain3	domain1	Par	known	non-signif	signif	0.153	99.0	8	2	3	relaxation	0	0	1	mB	4	25	0	passed	NA	NA
28	domain3	domain2	Rec	known	non-signif	non-signif	0.402	0.595	7	1	4	positive	3	0	0	mB	3	23	0	passed	NA	NA
28	domain3	domain2	Par	known	purifying	signif	0.693	0.333	7	3	4	positive	3	0	0	mB	3	24	0	passed	NA	NA
32	domain3	domain3	Rec	known	purifying	non-signif	0.541	0.33799999999999997	8	1	3	positive	1	0	0	mB	0	15	0	passed	NA	NA
32	domain3	domain3	Par	known	purifying	signif	0.738	0.212	8	2	3	positive	1	0	0	mB	0	7	0	passed	NA	NA
32	domain3	domain1	Rec	known	positive	signif	0.19699999999999998	99.0	7	1	3	positive	1	0	0	mB	11	24	0	passed	NA	NA
32	domain3	domain1	Par	known	non-signif	signif	0.202	0.838	7	2	3	positive	1	0	0	mB	5	28	0	passed	NA	NA
32	domain3	domain2	Rec	known	non-signif	non-signif	0.40299999999999997	0.621	7	1	3	positive	3	0	0	mB	6	28	0	passed	NA	NA
32	domain3	domain2	Par	known	non-signif	signif	0.346	1.239	7	2	3	positive	3	0	0	mB	2	5	0	passed	NA	NA
34	domain1	domain1	Rec	known	purifying	signif	0.287	0.046	8	1	2	relaxation	0	0	1	mB	31	0	0	passed	Different	1.0
34	domain1	domain1	Par	known	purifying	signif	0.254	0.096	8	1	2	relaxation	0	0	1	mB	0	0	0	passed	Different	1.0
34	domain1	domain2	Rec	known	non-signif	non-signif	0.20600000000000002	1.399	8	1	2	non-signif	0	0	0	mB	1	49	0	passed	Different	1.0
34	domain1	domain2	Par	known	purifying	non-signif	0.21	0.234	8	1	2	non-signif	0	0	0	mB	2	53	0	passed	Different	1.0
34	domain1	domain3	Rec	known	non-signif	non-signif	0.271	0.408	10	1	2	positive	2	12	0	mB	5	38	0	passed	Different	1.0
34	domain1	domain3	Par	known	non-signif	non-signif	0.266	0.486	10	1	2	positive	2	12	0	mB	4	38	0	passed	Different	1.0
36	domain3	domain3	Rec	known	purifying	non-signif	0.31	0.18600000000000003	8	1	2	positive	0	0	0	mB	0	37	0	passed	NA	NA
36	domain3	domain3	Par	known	purifying	non-signif	0.298	0.271	8	1	2	positive	0	0	0	mB	0	41	0	passed	NA	NA
36	domain3	domain1	Rec	known	purifying	non-signif	0.113	0.095	7	1	3	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
36	domain3	domain1	Par	known	purifying	non-signif	0.109	0.116	7	2	3	relaxation	0	0	1	mB	231	0	0	not_passed	NA	NA
36	domain3	domain2	Rec	known	purifying	non-signif	0.257	0.156	10	1	3	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
37	domain3	domain3	Rec	known	purifying	non-signif	0.636	0.465	12	1	2	positive	19	0	0	mB	0	0	0	passed	Different	0.0
37	domain3	domain3	Par	known	non-signif	non-signif	0.621	0.56	12	1	2	positive	19	0	0	mB	0	69	0	not_passed	Different	0.0
37	domain3	domain1	Rec	known	non-signif	signif	0.381	0.904	10	1	4	positive	1	0	0	mB	4	48	0	passed	Different	0.0
37	domain3	domain1	Par	known	non-signif	signif	0.309	1.389	10	3	4	positive	1	0	0	mB	12	11	0	passed	Different	0.0
37	domain3	domain2	Rec	known	non-signif	non-signif	0.19	0.42700000000000005	8	1	2	non-signif	0	0	0	mB	0	23	0	passed	Different	0.0
37	domain3	domain2	Par	known	purifying	non-signif	0.199	0.222	8	1	2	non-signif	0	0	0	mB	0	1	0	passed	Different	0.0
38	domain1	domain1	Rec	known	non-signif	signif	0.41200000000000003	1.857	22	1	8	positive	4	4	0	mB	1	10	0	passed	Different	0.0
38	domain1	domain1	Par	known	non-signif	signif	0.341	0.94	22	7	8	positive	4	4	0	mB	19	35	0	passed	Different	0.0
38	domain1	domain2	Rec	known	purifying	non-signif	0.55	0.222	8	1	2	positive	3	0	0	mB	0	0	0	passed	Different	0.0
38	domain1	domain2	Par	known	purifying	non-signif	0.535	0.19	8	1	2	positive	3	0	0	mB	0	37	0	passed	Different	0.0
38	domain1	domain3	Rec	known	non-signif	non-signif	0.301	0.15	8	1	2	relaxation	0	0	2	mB	0	0	0	passed	Different	0.0
38	domain1	domain3	Par	known	purifying	non-signif	0.309	0.199	8	1	2	relaxation	0	0	2	mB	0	0	0	passed	Different	0.0
39	domain3	domain3	Rec	known	non-signif	non-signif	0.439	0.78	28	1	3	positive	11	3	0	mB	2	28	0	passed	NA	NA
39	domain3	domain1	Rec	known	non-signif	signif	0.391	1.9480000000000002	10	1	2	positive	1	0	0	mB	3	0	0	passed	NA	NA
39	domain3	domain1	Par	known	non-signif	signif	0.393	3.281	10	1	2	positive	1	0	0	mB	1	53	0	passed	NA	NA
39	domain3	domain2	Rec	known	non-signif	signif	0.23800000000000002	1.252	16	1	3	positive	1	12	0	mB	1	55	0	passed	NA	NA
39	domain3	domain2	Par	known	purifying	non-signif	0.244	0.278	16	2	3	positive	1	12	0	mB	1	74	0	passed	NA	NA
44	domain3	domain3	Rec	known	non-signif	non-signif	0.38299999999999995	0.46299999999999997	15	1	2	relaxation	0	0	1	mB	3	30	0	passed	Same	0.6666666666666666
44	domain3	domain3	Par	known	non-signif	non-signif	0.382	0.556	15	1	2	relaxation	0	0	1	mB	0	27	0	passed	Same	0.6666666666666666
44	domain3	domain1	Rec	known	purifying	non-signif	0.179	0.18100000000000002	11	1	3	relaxation	0	0	1	mB	0	46	0	passed	Same	0.6666666666666666
44	domain3	domain1	Par	known	purifying	non-signif	0.176	0.209	11	2	3	relaxation	0	0	1	mB	1	49	0	passed	Same	0.6666666666666666
