ID	Rec_domain	Curr_domain	Tox_type	unknown_flag	evol_type	signif_flag	omega_b	omega_f	Num_tox	Num_rec_pars	Num_recs_pars_all	best_site_model	Sites_pos	Sites_cons	Sites_rel	Best_branc_site	Brsites_pos	Brsites_cons	Brsites_rel	Passed_flag	Orders_flag	Simpson_species
44	domain3	domain2	Rec	known	purifying	non-signif	0.201	0.183	8	1	3	positive	0	0	0	mB	1	24	0	passed	Same	0.6666666666666666
44	domain3	domain2	Par	known	purifying	non-signif	0.205	0.176	8	2	3	positive	0	0	0	mB	0	94	0	not_passed	Same	0.6666666666666666
45	domain1	domain1	Rec	known	positive	signif	0.893	99.0	10	1	2	positive	17	0	0	mB	0	47	0	passed	NA	NA
45	domain1	domain1	Par	known	non-signif	non-signif	0.932	0.303	10	1	2	positive	17	0	0	mB	225	0	0	not_passed	NA	NA
45	domain1	domain2	Rec	known	non-signif	non-signif	1.161	0.467	10	1	4	positive	35	0	0	mB	213	0	0	not_passed	NA	NA
45	domain1	domain3	Rec	major	non-signif	non-signif	0.639	0.48	12	1	1	positive	19	0	0	mB	0	5	0	passed	NA	NA
47	domain1	domain1	Rec	known	purifying	signif	0.239	0.0	31	1	6	positive	2	0	0	mB	157	0	0	not_passed	NA	NA
47	domain1	domain1	Par	known	non-signif	signif	0.223	99.0	31	5	6	positive	2	0	0	mB	4	39	0	passed	NA	NA
47	domain1	domain2	Rec	known	non-signif	non-signif	0.33899999999999997	0.0	32	1	6	positive	0	0	0	mB	236	0	0	not_passed	NA	NA
47	domain1	domain2	Par	known	purifying	non-signif	0.343	0.184	32	5	6	positive	0	0	0	mB	0	0	0	passed	NA	NA
47	domain1	domain3	Rec	known	non-signif	non-signif	0.174	0.397	31	1	5	non-signif	0	15	0	mB	151	0	0	not_passed	NA	NA
47	domain1	domain3	Par	known	non-signif	non-signif	0.176	0.099	31	4	5	non-signif	0	15	0	mB	151	0	0	not_passed	NA	NA
49	domain3	domain3	Rec	known	purifying	non-signif	0.21899999999999997	0.09699999999999999	9	1	2	relaxation	0	0	1	mB	140	0	0	not_passed	Same	0.5
49	domain3	domain3	Par	known	purifying	non-signif	0.186	0.181	9	1	2	relaxation	0	0	1	mB	0	18	0	passed	Same	0.5
49	domain3	domain1	Rec	known	purifying	non-signif	0.204	0.301	8	1	2	non-signif	0	0	0	mB	0	63	0	passed	Same	0.5
49	domain3	domain1	Par	known	purifying	non-signif	0.215	0.048	8	1	2	non-signif	0	0	0	mB	209	0	0	not_passed	Same	0.5
49	domain3	domain2	Rec	known	non-signif	non-signif	0.37200000000000005	0.518	9	1	2	positive	1	0	0	mB	0	0	0	passed	Same	0.5
49	domain3	domain2	Par	known	non-signif	non-signif	0.371	0.508	9	1	2	positive	1	0	0	mB	0	0	0	passed	Same	0.5
51	domain3	domain3	Rec	known	non-signif	non-signif	0.309	1.004	7	1	2	positive	3	0	0	mB	4	0	0	passed	Different	1.0
51	domain3	domain3	Par	known	non-signif	non-signif	0.317	0.729	7	1	2	positive	3	0	0	mB	5	45	0	passed	Different	1.0
51	domain3	domain1	Rec	known	non-signif	non-signif	0.207	0.231	8	1	2	relaxation	0	0	1	mB	201	0	0	not_passed	Different	1.0
51	domain3	domain1	Par	known	non-signif	non-signif	0.201	0.291	8	1	2	relaxation	0	0	1	mB	0	0	0	passed	Different	1.0
51	domain3	domain2	Rec	known	purifying	non-signif	0.366	0.203	7	1	2	positive	1	0	0	mB	0	0	0	passed	Different	1.0
51	domain3	domain2	Par	known	purifying	non-signif	0.367	0.281	7	1	2	positive	1	0	0	mB	0	22	0	passed	Different	1.0
52	domain3	domain3	Rec	known	purifying	non-signif	0.313	0.415	10	1	4	relaxation	0	0	1	mB	2	1	0	passed	Different	0.0
52	domain3	domain1	Rec	known	purifying	signif	0.574	0.18899999999999997	14	1	2	positive	5	0	0	mB	0	3	0	passed	Different	0.0
52	domain3	domain1	Par	known	purifying	signif	0.55	0.222	14	1	2	positive	5	0	0	mB	1	70	0	passed	Different	0.0
52	domain3	domain2	Rec	known	non-signif	non-signif	0.209	0.419	8	1	2	relaxation	0	0	1	mB	0	32	0	passed	Different	0.0
52	domain3	domain2	Par	known	non-signif	signif	0.198	0.861	8	1	2	relaxation	0	0	1	mB	3	31	0	passed	Different	0.0
53	domain3	domain3	Rec	minor	purifying	non-signif	0.285	0.10300000000000001	9	1	1	positive	1	0	0	mB	3	21	0	passed	Same	0.0
53	domain3	domain1	Rec	known	non-signif	non-signif	0.258	0.45399999999999996	8	1	2	relaxation	0	0	1	mB	0	71	0	passed	Same	0.0
53	domain3	domain1	Par	known	non-signif	non-signif	0.251	0.711	8	1	2	relaxation	0	0	1	mB	0	71	0	passed	Same	0.0
53	domain3	domain2	Rec	known	non-signif	signif	0.377	1.55	29	1	3	positive	1	0	0	mB	1	80	0	passed	Same	0.0
53	domain3	domain2	Par	known	purifying	non-signif	0.379	0.467	29	2	3	positive	1	0	0	mB	0	66	0	passed	Same	0.0
56	domain1	domain1	Rec	minor	purifying	non-signif	0.225	0.179	7	1	1	relaxation	0	0	1	mB	0	2	0	passed	Same	1.0
56	domain1	domain2	Rec	known	purifying	signif	0.22699999999999998	0.061	8	1	3	positive	0	0	0	mB	207	0	0	not_passed	Same	1.0
56	domain1	domain2	Par	known	purifying	non-signif	0.205	0.176	8	2	3	positive	0	0	0	mB	0	94	0	not_passed	Same	1.0
56	domain1	domain3	Rec	known	purifying	non-signif	0.33399999999999996	0.39399999999999996	31	1	6	non-signif	0	0	0	mB	1	34	0	passed	Same	1.0
60	domain3	domain3	Rec	known	non-signif	signif	0.308	1.2919999999999998	7	2	3	positive	6	0	0	mB	2	41	0	passed	NA	NA
60	domain3	domain3	Par	known	non-signif	non-signif	0.428	0.529	7	1	3	positive	6	0	0	mB	0	0	0	passed	NA	NA
60	domain3	domain1	Rec	known	purifying	non-signif	0.289	0.326	8	2	3	positive	2	0	0	mB	1	80	0	passed	NA	NA
60	domain3	domain1	Par	known	non-signif	signif	0.266	0.639	8	1	3	positive	2	0	0	mB	1	60	0	passed	NA	NA
60	domain3	domain2	Rec	known	non-signif	non-signif	0.5379999999999999	0.762	7	2	3	positive	7	0	0	mB	3	39	0	passed	NA	NA
60	domain3	domain2	Par	known	non-signif	non-signif	0.552	0.843	7	1	3	positive	7	0	0	mB	0	45	0	passed	NA	NA
62	domain1	domain1	Rec	known	purifying	non-signif	0.171	0.2	31	1	2	relaxation	0	0	1	mB	1	37	0	passed	Same	0.6666666666666666
62	domain1	domain1	Par	known	purifying	non-signif	0.175	0.076	31	1	2	relaxation	0	0	1	mB	0	28	0	passed	Same	0.6666666666666666
62	domain1	domain2	Rec	known	non-signif	non-signif	0.159	0.193	12	1	5	positive	2	0	0	mB	0	0	0	passed	Same	0.6666666666666666
62	domain1	domain2	Par	known	non-signif	non-signif	0.159	0.244	12	4	5	positive	2	0	0	mB	0	31	0	passed	Same	0.6666666666666666
62	domain1	domain3	Rec	known	non-signif	non-signif	0.311	0.263	7	1	3	positive	0	0	0	mB	0	0	0	passed	Same	0.6666666666666666
62	domain1	domain3	Par	known	purifying	non-signif	0.325	0.262	7	2	3	positive	0	0	0	mB	0	0	0	passed	Same	0.6666666666666666
65	domain2	domain2	Rec	minor	non-signif	signif	0.544	1.63	9	2	2	positive	14	0	0	mB	4	70	0	passed	NA	NA
65	domain2	domain1	Rec	known	purifying	non-signif	0.623	0.435	9	2	3	positive	4	0	0	mB	1	74	0	passed	NA	NA
65	domain2	domain1	Par	known	non-signif	non-signif	0.514	0.724	9	1	3	positive	4	0	0	mB	2	79	0	passed	NA	NA
71	domain2	domain2	Rec	known	purifying	signif	0.24100000000000002	0.048	8	1	2	non-signif	0	0	0	mB	0	55	0	passed	Different	0.0
71	domain2	domain2	Par	known	purifying	non-signif	0.208	0.169	8	1	2	non-signif	0	0	0	mB	0	57	0	passed	Different	0.0
73	domain3	domain3	Rec	known	non-signif	non-signif	0.21600000000000003	0.302	7	1	2	relaxation	0	0	1	mB	0	21	0	passed	Same	0.0
73	domain3	domain3	Par	known	non-signif	non-signif	0.204	0.508	7	1	2	relaxation	0	0	1	mB	3	17	0	passed	Same	0.0
73	domain3	domain1	Rec	major	purifying	non-signif	0.22699999999999998	0.32	8	1	1	relaxation	0	0	1	mB	2	35	0	passed	Same	0.0
73	domain3	domain2	Rec	major	purifying	non-signif	0.203	0.366	8	1	1	non-signif	0	0	0	mB	1	41	0	passed	Same	0.0
74	domain3	domain3	Rec	minor	purifying	signif	0.327	0.004	8	1	1	positive	6	0	0	mB	2	21	0	passed	NA	NA
74	domain3	domain1	Rec	known	non-signif	signif	0.16399999999999998	0.545	8	1	3	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
74	domain3	domain1	Par	known	purifying	non-signif	0.197	0.147	8	2	3	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
74	domain3	domain2	Rec	known	non-signif	non-signif	0.429	0.48700000000000004	8	1	2	positive	2	0	0	mB	2	56	0	passed	NA	NA
74	domain3	domain2	Par	known	non-signif	non-signif	0.431	0.256	8	1	2	positive	2	0	0	mB	1	56	0	passed	NA	NA
75	domain1	domain1	Rec	known	purifying	signif	0.223	0.07	10	1	2	relaxation	0	0	1	mB	0	17	0	passed	NA	NA
75	domain1	domain1	Par	known	purifying	non-signif	0.202	0.118	10	1	2	relaxation	0	0	1	mB	0	0	0	passed	NA	NA
75	domain1	domain2	Rec	known	purifying	non-signif	0.325	0.156	8	1	3	positive	1	5	0	mB	1	31	0	passed	NA	NA
75	domain1	domain2	Par	known	purifying	non-signif	0.348	0.196	8	2	3	positive	1	5	0	mB	0	31	0	passed	NA	NA
78	domain1	domain1	Rec	known	non-signif	non-signif	0.243	0.434	9	1	2	positive	0	0	0	mB	2	36	0	passed	NA	NA
78	domain1	domain1	Par	known	non-signif	signif	0.237	0.81	9	1	2	positive	0	0	0	mB	3	38	0	passed	NA	NA
78	domain1	domain2	Rec	known	purifying	non-signif	0.315	0.19699999999999998	12	1	2	positive	2	5	0	mB	1	33	0	passed	NA	NA
78	domain1	domain2	Par	known	non-signif	signif	0.27	0.581	12	1	2	positive	2	5	0	mB	6	22	0	passed	NA	NA
78	domain1	domain3	Rec	known	non-signif	non-signif	0.601	0.638	9	1	4	positive	23	0	0	mB	0	55	0	passed	NA	NA
78	domain1	domain3	Par	known	non-signif	signif	0.45	0.958	9	3	4	positive	23	0	0	mB	0	53	0	passed	NA	NA
87	domain1	domain1	Rec	known	purifying	non-signif	0.22699999999999998	0.182	11	2	5	relaxation	0	0	1	mB	0	0	0	passed	Different	0.8888888888888888
87	domain1	domain2	Rec	known	purifying	signif	0.27399999999999997	0.092	25	2	4	relaxation	0	0	1	mB	0	0	0	passed	Different	0.8888888888888888
87	domain1	domain2	Par	known	non-signif	non-signif	0.254	0.355	25	2	4	relaxation	0	0	1	mB	0	58	0	passed	Different	0.8888888888888888
95	domain1	domain1	Rec	known	purifying	non-signif	0.28	0.078	22	1	2	relaxation	0	0	1	mB	0	0	0	passed	Different	1.0
95	domain1	domain1	Par	known	non-signif	non-signif	0.261	0.725	22	1	2	relaxation	0	0	1	mB	0	30	0	passed	Different	1.0
95	domain1	domain2	Rec	known	purifying	non-signif	0.336	0.272	32	1	8	positive	0	0	0	mB	0	0	0	passed	Different	1.0
95	domain1	domain3	Rec	known	purifying	signif	0.262	0.0	50	1	7	relaxation	0	0	95	mB	188	0	0	not_passed	Different	1.0
96	domain1	domain1	Rec	known	purifying	signif	0.441	0.08	10	1	2	positive	1	0	0	mB	0	0	0	passed	Same	0.5
96	domain1	domain1	Par	known	non-signif	non-signif	0.416	0.281	10	1	2	positive	1	0	0	mB	0	0	0	passed	Same	0.5
96	domain1	domain2	Rec	known	purifying	signif	0.239	0.062	16	1	3	positive	0	22	0	mB	1	38	0	passed	Same	0.5
96	domain1	domain3	Rec	known	purifying	signif	0.325	0.085	10	1	2	positive	3	0	0	mB	18	0	0	passed	Same	0.5
96	domain1	domain3	Par	known	purifying	signif	0.315	0.087	10	1	2	positive	3	0	0	mB	157	0	0	not_passed	Same	0.5
98	domain3	domain3	Rec	known	purifying	signif	0.15	0.311	11	2	3	positive	1	4	0	mB	8	0	0	passed	Different	0.5
98	domain3	domain3	Par	known	purifying	non-signif	0.184	0.077	11	1	3	positive	1	4	0	mB	0	65	0	not_passed	Different	0.5
98	domain3	domain1	Rec	known	purifying	signif	0.275	0.11900000000000001	8	2	3	relaxation	0	0	1	mB	0	32	0	passed	Different	0.5
98	domain3	domain1	Par	known	purifying	non-signif	0.218	0.272	8	1	3	relaxation	0	0	1	mB	0	40	0	passed	Different	0.5
98	domain3	domain2	Rec	known	purifying	signif	0.302	0.135	10	2	6	positive	0	0	0	mB	0	50	0	passed	Different	0.5
98	domain3	domain2	Par	known	purifying	non-signif	0.275	0.231	10	4	6	positive	0	0	0	mB	2	37	0	passed	Different	0.5
103	domain3	domain3	Rec	minor	non-signif	non-signif	0.629	0.495	12	1	1	positive	19	0	0	mB	0	5	0	passed	NA	NA
103	domain3	domain1	Rec	known	positive	signif	0.893	99.0	10	1	2	positive	17	0	0	mB	0	47	0	passed	NA	NA
103	domain3	domain1	Par	known	non-signif	non-signif	0.932	0.303	10	1	2	positive	17	0	0	mB	225	0	0	not_passed	NA	NA
103	domain3	domain2	Rec	known	non-signif	non-signif	1.145	0.47100000000000003	10	1	4	positive	34	0	0	mB	213	0	0	not_passed	NA	NA
104	domain3	domain3	Rec	known	purifying	non-signif	0.321	0.16399999999999998	14	1	3	positive	0	0	0	mB	2	21	0	passed	Same	1.0
104	domain3	domain3	Par	known	purifying	signif	0.41	0.148	14	2	3	positive	0	0	0	mB	14	0	0	passed	Same	1.0
104	domain3	domain1	Rec	major	purifying	non-signif	0.153	0.161	8	1	1	positive	0	18	0	mB	4	20	0	passed	Same	1.0
104	domain3	domain2	Rec	major	purifying	non-signif	0.177	0.008	7	1	1	positive	0	8	0	mB	1	1	0	passed	Same	1.0
107	domain2	domain2	Rec	known	non-signif	non-signif	0.19399999999999998	0.42200000000000004	8	1	2	non-signif	0	0	0	mB	0	28	0	passed	Different	0.0
107	domain2	domain2	Par	known	purifying	non-signif	0.203	0.221	8	1	2	non-signif	0	0	0	mB	0	1	0	passed	Different	0.0
107	domain2	domain1	Rec	major	non-signif	signif	0.381	0.904	10	1	1	positive	1	0	0	mB	4	48	0	passed	Different	0.0
107	domain2	domain3	Rec	major	purifying	non-signif	0.636	0.465	12	1	1	positive	19	0	0	mB	0	0	0	passed	Different	0.0
109	domain3	domain3	Rec	known	non-signif	non-signif	0.337	0.316	9	1	3	positive	3	0	0	mB	1	55	0	passed	Different	0.0
109	domain3	domain3	Par	known	non-signif	signif	0.199	0.566	9	2	3	positive	3	0	0	mB	12	2	0	passed	Different	0.0
109	domain3	domain1	Rec	known	non-signif	non-signif	0.392	0.45399999999999996	7	1	3	positive	10	0	0	mB	0	2	0	passed	Different	0.0
109	domain3	domain2	Rec	known	non-signif	non-signif	0.39899999999999997	0.733	7	1	2	positive	0	0	0	mB	10	15	0	passed	Different	0.0
109	domain3	domain2	Par	known	non-signif	non-signif	0.437	0.603	7	1	2	positive	0	0	0	mB	4	21	0	passed	Different	0.0
112	domain3	domain3	Rec	known	non-signif	non-signif	0.24100000000000002	0.276	8	1	3	relaxation	0	0	1	mB	3	22	0	passed	NA	NA
112	domain3	domain3	Par	known	purifying	non-signif	0.19	0.327	8	2	3	relaxation	0	0	1	mB	5	16	0	passed	NA	NA
112	domain3	domain1	Rec	known	non-signif	non-signif	0.16899999999999998	0.146	8	1	2	relaxation	0	0	2	mB	204	0	0	not_passed	NA	NA
112	domain3	domain1	Par	known	non-signif	non-signif	0.161	99.0	8	1	2	relaxation	0	0	2	mB	0	54	0	passed	NA	NA
112	domain3	domain2	Rec	known	purifying	non-signif	0.45899999999999996	0.182	7	1	3	positive	3	0	0	mB	0	0	0	passed	NA	NA
112	domain3	domain2	Par	known	purifying	signif	0.501	0.162	7	2	3	positive	3	0	0	mB	2	25	0	passed	NA	NA
113	domain3	domain3	Rec	known	non-signif	non-signif	0.273	2.47	8	1	2	positive	0	5	0	mB	162	0	0	not_passed	NA	NA
113	domain3	domain3	Par	known	purifying	signif	0.323	0.0	8	1	2	positive	0	5	0	mB	162	0	0	not_passed	NA	NA
113	domain3	domain1	Rec	major	purifying	non-signif	0.168	0.006999999999999999	7	1	1	positive	0	15	0	mB	0	20	0	passed	NA	NA
113	domain3	domain2	Rec	major	purifying	non-signif	0.257	0.10400000000000001	7	1	1	positive	0	4	0	mB	5	1	0	passed	NA	NA
119	domain1	domain1	Rec	known	non-signif	non-signif	0.22699999999999998	0.341	8	1	2	relaxation	0	0	1	mB	1	59	0	passed	Same	0.5
119	domain1	domain1	Par	known	non-signif	non-signif	0.221	1.185	8	1	2	relaxation	0	0	1	mB	1	60	0	passed	Same	0.5
119	domain1	domain2	Rec	known	non-signif	non-signif	0.203	0.568	8	1	2	non-signif	0	0	0	mB	0	37	0	passed	Same	0.5
119	domain1	domain2	Par	known	non-signif	signif	0.197	0.622	8	1	2	non-signif	0	0	0	mB	3	39	0	passed	Same	0.5
119	domain1	domain3	Rec	known	non-signif	non-signif	0.16699999999999998	99.0	7	1	2	relaxation	0	0	1	mB	156	0	0	not_passed	Same	0.5
119	domain1	domain3	Par	known	non-signif	signif	0.162	74.316	7	1	2	relaxation	0	0	1	mB	156	0	0	not_passed	Same	0.5
