ID	Rec_num	Par_num	Comon_num	Coeff	Dataset	Par_type
0	1	6	0.0	Jaccard	Strains	Strict
0	1	6	0.0	Simpson	Strains	Strict
0	1	6	0.0	Braun	Strains	Strict
0	1	6	0.0	Rec_coeff	Strains	Strict
0	1	6	0.6666666666666666	Par_coeff	Strains	Strict
0	1	6	0.0	Jaccard	Strains	All
0	1	6	0.0	Simpson	Strains	All
0	1	6	0.0	Braun	Strains	All
0	1	6	0.0	Rec_coeff	Strains	All
0	1	6	0.6666666666666666	Par_coeff	Strains	All
2	1	45	0.0	Jaccard	Strains	Strict
2	1	45	0.0	Simpson	Strains	Strict
2	1	45	0.0	Braun	Strains	Strict
2	1	45	0.0	Rec_coeff	Strains	Strict
2	1	45	0.5111111111111111	Par_coeff	Strains	Strict
2	1	56	0.0	Jaccard	Strains	All
2	1	56	0.0	Simpson	Strains	All
2	1	45	0.0	Braun	Strains	All
2	1	45	0.0	Rec_coeff	Strains	All
2	1	45	0.8035714285714286	Par_coeff	Strains	All
3	7	3	0.0	Jaccard	Strains	Strict
3	7	3	0.0	Simpson	Strains	Strict
3	7	3	0.0	Braun	Strains	Strict
3	7	3	0.0	Rec_coeff	Strains	Strict
3	7	3	0.0	Par_coeff	Strains	Strict
3	7	3	0.0	Jaccard	Strains	All
3	7	3	0.0	Simpson	Strains	All
3	7	3	0.0	Braun	Strains	All
3	7	3	0.0	Rec_coeff	Strains	All
3	7	3	0.0	Par_coeff	Strains	All
6	5	5	0.0	Jaccard	Strains	Strict
6	5	5	0.0	Simpson	Strains	Strict
6	5	5	0.0	Braun	Strains	Strict
6	5	5	0.0	Rec_coeff	Strains	Strict
6	5	5	0.0	Par_coeff	Strains	Strict
6	5	5	0.0	Jaccard	Strains	All
6	5	5	0.0	Simpson	Strains	All
6	5	5	0.0	Braun	Strains	All
6	5	5	0.0	Rec_coeff	Strains	All
6	5	5	0.0	Par_coeff	Strains	All
8	10	20	0.5	Jaccard	Strains	Strict
8	10	20	1.0	Simpson	Strains	Strict
8	10	20	0.5	Braun	Strains	Strict
8	10	20	1.0	Rec_coeff	Strains	Strict
8	10	20	0.0	Par_coeff	Strains	Strict
8	10	20	0.5	Jaccard	Strains	All
8	10	20	1.0	Simpson	Strains	All
8	10	20	0.5	Braun	Strains	All
8	10	20	1.0	Rec_coeff	Strains	All
8	10	20	0.0	Par_coeff	Strains	All
10	1	3	0.0	Jaccard	Strains	Strict
10	1	3	0.0	Simpson	Strains	Strict
10	1	3	0.0	Braun	Strains	Strict
10	1	3	0.0	Rec_coeff	Strains	Strict
10	1	3	0.0	Par_coeff	Strains	Strict
10	1	3	0.0	Jaccard	Strains	All
10	1	3	0.0	Simpson	Strains	All
10	1	3	0.0	Braun	Strains	All
10	1	3	0.0	Rec_coeff	Strains	All
10	1	3	0.0	Par_coeff	Strains	All
13	3	16	0.05555555555555555	Jaccard	Strains	Strict
13	3	16	0.3333333333333333	Simpson	Strains	Strict
13	3	16	0.0625	Braun	Strains	Strict
13	3	16	0.3333333333333333	Rec_coeff	Strains	Strict
13	3	16	0.0	Par_coeff	Strains	Strict
13	3	16	0.05555555555555555	Jaccard	Strains	All
13	3	16	0.3333333333333333	Simpson	Strains	All
13	3	16	0.0625	Braun	Strains	All
13	3	16	0.3333333333333333	Rec_coeff	Strains	All
13	3	16	0.0	Par_coeff	Strains	All
14	19	22	0.36666666666666664	Jaccard	Strains	Strict
14	19	22	0.5789473684210527	Simpson	Strains	Strict
14	19	22	0.5	Braun	Strains	Strict
14	19	22	0.5789473684210527	Rec_coeff	Strains	Strict
14	19	22	0.045454545454545456	Par_coeff	Strains	Strict
14	19	22	0.36666666666666664	Jaccard	Strains	All
14	19	22	0.5789473684210527	Simpson	Strains	All
14	19	22	0.5	Braun	Strains	All
14	19	22	0.5789473684210527	Rec_coeff	Strains	All
14	19	22	0.045454545454545456	Par_coeff	Strains	All
17	7	21	0.037037037037037035	Jaccard	Strains	Strict
17	7	21	0.14285714285714285	Simpson	Strains	Strict
17	7	21	0.047619047619047616	Braun	Strains	Strict
17	7	21	0.14285714285714285	Rec_coeff	Strains	Strict
17	7	21	0.5238095238095238	Par_coeff	Strains	Strict
17	7	21	0.037037037037037035	Jaccard	Strains	All
17	7	21	0.14285714285714285	Simpson	Strains	All
17	7	21	0.047619047619047616	Braun	Strains	All
17	7	21	0.14285714285714285	Rec_coeff	Strains	All
17	7	21	0.5238095238095238	Par_coeff	Strains	All
19	1	19	0.0	Jaccard	Strains	Strict
19	1	19	0.0	Simpson	Strains	Strict
19	1	19	0.0	Braun	Strains	Strict
19	1	19	0.0	Rec_coeff	Strains	Strict
19	1	19	0.6842105263157895	Par_coeff	Strains	Strict
19	1	19	0.0	Jaccard	Strains	All
19	1	19	0.0	Simpson	Strains	All
19	1	19	0.0	Braun	Strains	All
19	1	19	0.0	Rec_coeff	Strains	All
19	1	19	0.6842105263157895	Par_coeff	Strains	All
22	3	2	0.0	Jaccard	Strains	Strict
22	3	2	0.0	Simpson	Strains	Strict
22	3	2	0.0	Braun	Strains	Strict
22	3	2	0.0	Rec_coeff	Strains	Strict
22	3	2	0.0	Par_coeff	Strains	Strict
22	3	8	0.0	Jaccard	Strains	All
22	3	8	0.0	Simpson	Strains	All
22	3	2	0.0	Braun	Strains	All
22	3	2	0.0	Rec_coeff	Strains	All
22	3	2	0.0	Par_coeff	Strains	All
23	2	12	0.0	Jaccard	Strains	Strict
23	2	12	0.0	Simpson	Strains	Strict
23	2	12	0.0	Braun	Strains	Strict
23	2	12	0.0	Rec_coeff	Strains	Strict
23	2	12	0.0	Par_coeff	Strains	Strict
23	2	12	0.0	Jaccard	Strains	All
23	2	12	0.0	Simpson	Strains	All
23	2	12	0.0	Braun	Strains	All
23	2	12	0.0	Rec_coeff	Strains	All
23	2	12	0.25	Par_coeff	Strains	All
24	1	32	0.0	Jaccard	Strains	Strict
24	1	32	0.0	Simpson	Strains	Strict
24	1	32	0.0	Braun	Strains	Strict
24	1	32	0.0	Rec_coeff	Strains	Strict
24	1	32	0.09375	Par_coeff	Strains	Strict
24	1	44	0.0	Jaccard	Strains	All
24	1	44	0.0	Simpson	Strains	All
24	1	32	0.0	Braun	Strains	All
24	1	32	0.0	Rec_coeff	Strains	All
24	1	32	0.06818181818181818	Par_coeff	Strains	All
27	3	7	0.42857142857142855	Jaccard	Strains	Strict
27	3	7	1.0	Simpson	Strains	Strict
27	3	7	0.42857142857142855	Braun	Strains	Strict
27	3	7	1.0	Rec_coeff	Strains	Strict
27	3	7	0.0	Par_coeff	Strains	Strict
27	3	7	0.42857142857142855	Jaccard	Strains	All
27	3	7	1.0	Simpson	Strains	All
27	3	7	0.42857142857142855	Braun	Strains	All
27	3	7	1.0	Rec_coeff	Strains	All
27	3	7	0.0	Par_coeff	Strains	All
28	7	5	0.0	Jaccard	Strains	Strict
28	7	5	0.0	Simpson	Strains	Strict
28	7	5	0.0	Braun	Strains	Strict
28	7	5	0.0	Rec_coeff	Strains	Strict
28	7	5	0.0	Par_coeff	Strains	Strict
28	7	12	0.5833333333333334	Jaccard	Strains	All
28	7	12	1.0	Simpson	Strains	All
28	7	5	0.5833333333333334	Braun	Strains	All
28	7	5	1.0	Rec_coeff	Strains	All
28	7	5	0.0	Par_coeff	Strains	All
29	24	29	0.325	Jaccard	Strains	Strict
29	24	29	0.5416666666666666	Simpson	Strains	Strict
29	24	29	0.4482758620689655	Braun	Strains	Strict
29	24	29	0.5416666666666666	Rec_coeff	Strains	Strict
29	24	29	0.1724137931034483	Par_coeff	Strains	Strict
29	24	29	0.325	Jaccard	Strains	All
29	24	29	0.5416666666666666	Simpson	Strains	All
29	24	29	0.4482758620689655	Braun	Strains	All
29	24	29	0.5416666666666666	Rec_coeff	Strains	All
29	24	29	0.1724137931034483	Par_coeff	Strains	All
32	1	10	0.0	Jaccard	Strains	Strict
32	1	10	0.0	Simpson	Strains	Strict
32	1	10	0.0	Braun	Strains	Strict
32	1	10	0.0	Rec_coeff	Strains	Strict
32	1	10	0.7	Par_coeff	Strains	Strict
32	1	10	0.0	Jaccard	Strains	All
32	1	10	0.0	Simpson	Strains	All
32	1	10	0.0	Braun	Strains	All
32	1	10	0.0	Rec_coeff	Strains	All
32	1	10	0.7	Par_coeff	Strains	All
34	3	3	1.0	Jaccard	Strains	Strict
34	3	3	1.0	Simpson	Strains	Strict
34	3	3	1.0	Braun	Strains	Strict
34	3	3	1.0	Rec_coeff	Strains	Strict
34	3	3	1.0	Par_coeff	Strains	Strict
34	3	3	1.0	Jaccard	Strains	All
34	3	3	1.0	Simpson	Strains	All
34	3	3	1.0	Braun	Strains	All
34	3	3	1.0	Rec_coeff	Strains	All
34	3	3	1.0	Par_coeff	Strains	All
36	4	3	0.0	Jaccard	Strains	Strict
36	4	3	0.0	Simpson	Strains	Strict
36	4	3	0.0	Braun	Strains	Strict
36	4	3	0.0	Rec_coeff	Strains	Strict
36	4	3	0.0	Par_coeff	Strains	Strict
36	4	3	0.0	Jaccard	Strains	All
36	4	3	0.0	Simpson	Strains	All
36	4	3	0.0	Braun	Strains	All
36	4	3	0.0	Rec_coeff	Strains	All
36	4	3	0.0	Par_coeff	Strains	All
37	3	9	0.0	Jaccard	Strains	Strict
37	3	9	0.0	Simpson	Strains	Strict
37	3	9	0.0	Braun	Strains	Strict
37	3	9	0.0	Rec_coeff	Strains	Strict
37	3	9	0.0	Par_coeff	Strains	Strict
37	3	17	0.05263157894736842	Jaccard	Strains	All
37	3	17	0.3333333333333333	Simpson	Strains	All
37	3	9	0.058823529411764705	Braun	Strains	All
37	3	9	0.3333333333333333	Rec_coeff	Strains	All
37	3	9	0.0	Par_coeff	Strains	All
38	2	38	0.0	Jaccard	Strains	Strict
38	2	38	0.0	Simpson	Strains	Strict
38	2	38	0.0	Braun	Strains	Strict
38	2	38	0.0	Rec_coeff	Strains	Strict
38	2	38	0.0	Par_coeff	Strains	Strict
38	2	38	0.0	Jaccard	Strains	All
38	2	38	0.0	Simpson	Strains	All
38	2	38	0.0	Braun	Strains	All
38	2	38	0.0	Rec_coeff	Strains	All
38	2	38	0.0	Par_coeff	Strains	All
39	6	12	0.058823529411764705	Jaccard	Strains	Strict
39	6	12	0.16666666666666666	Simpson	Strains	Strict
39	6	12	0.08333333333333333	Braun	Strains	Strict
39	6	12	0.16666666666666666	Rec_coeff	Strains	Strict
39	6	12	0.0	Par_coeff	Strains	Strict
39	6	12	0.058823529411764705	Jaccard	Strains	All
39	6	12	0.16666666666666666	Simpson	Strains	All
39	6	12	0.08333333333333333	Braun	Strains	All
39	6	12	0.16666666666666666	Rec_coeff	Strains	All
39	6	12	0.25	Par_coeff	Strains	All
44	6	4	0.0	Jaccard	Strains	Strict
44	6	4	0.0	Simpson	Strains	Strict
44	6	4	0.0	Braun	Strains	Strict
44	6	4	0.0	Rec_coeff	Strains	Strict
44	6	4	0.0	Par_coeff	Strains	Strict
44	6	4	0.0	Jaccard	Strains	All
44	6	4	0.0	Simpson	Strains	All
44	6	4	0.0	Braun	Strains	All
44	6	4	0.0	Rec_coeff	Strains	All
44	6	4	0.0	Par_coeff	Strains	All
45	11	10	0.0	Jaccard	Strains	Strict
45	11	10	0.0	Simpson	Strains	Strict
45	11	10	0.0	Braun	Strains	Strict
45	11	10	0.0	Rec_coeff	Strains	Strict
45	11	10	0.0	Par_coeff	Strains	Strict
45	11	16	0.0	Jaccard	Strains	All
45	11	16	0.0	Simpson	Strains	All
45	11	10	0.0	Braun	Strains	All
45	11	10	0.0	Rec_coeff	Strains	All
45	11	10	0.0	Par_coeff	Strains	All
47	1	26	0.0	Jaccard	Strains	Strict
47	1	26	0.0	Simpson	Strains	Strict
47	1	26	0.0	Braun	Strains	Strict
47	1	26	0.0	Rec_coeff	Strains	Strict
47	1	26	0.19230769230769232	Par_coeff	Strains	Strict
47	1	26	0.0	Jaccard	Strains	All
47	1	26	0.0	Simpson	Strains	All
47	1	26	0.0	Braun	Strains	All
47	1	26	0.0	Rec_coeff	Strains	All
47	1	26	0.19230769230769232	Par_coeff	Strains	All
49	5	2	0.0	Jaccard	Strains	Strict
49	5	2	0.0	Simpson	Strains	Strict
49	5	2	0.0	Braun	Strains	Strict
49	5	2	0.0	Rec_coeff	Strains	Strict
49	5	2	0.0	Par_coeff	Strains	Strict
49	5	2	0.0	Jaccard	Strains	All
49	5	2	0.0	Simpson	Strains	All
49	5	2	0.0	Braun	Strains	All
49	5	2	0.0	Rec_coeff	Strains	All
49	5	2	0.0	Par_coeff	Strains	All
51	7	5	0.0	Jaccard	Strains	Strict
51	7	5	0.0	Simpson	Strains	Strict
51	7	5	0.0	Braun	Strains	Strict
51	7	5	0.0	Rec_coeff	Strains	Strict
51	7	5	0.0	Par_coeff	Strains	Strict
51	7	5	0.0	Jaccard	Strains	All
51	7	5	0.0	Simpson	Strains	All
51	7	5	0.0	Braun	Strains	All
51	7	5	0.0	Rec_coeff	Strains	All
51	7	5	0.0	Par_coeff	Strains	All
52	8	24	0.3333333333333333	Jaccard	Strains	Strict
52	8	24	1.0	Simpson	Strains	Strict
52	8	24	0.3333333333333333	Braun	Strains	Strict
52	8	24	1.0	Rec_coeff	Strains	Strict
52	8	24	0.0	Par_coeff	Strains	Strict
52	8	24	0.3333333333333333	Jaccard	Strains	All
52	8	24	1.0	Simpson	Strains	All
52	8	24	0.3333333333333333	Braun	Strains	All
52	8	24	1.0	Rec_coeff	Strains	All
52	8	24	0.0	Par_coeff	Strains	All
53	2	1	0.0	Jaccard	Strains	Strict
53	2	1	0.0	Simpson	Strains	Strict
53	2	1	0.0	Braun	Strains	Strict
53	2	1	0.0	Rec_coeff	Strains	Strict
53	2	1	0.0	Par_coeff	Strains	Strict
53	2	14	0.0	Jaccard	Strains	All
53	2	14	0.0	Simpson	Strains	All
53	2	1	0.0	Braun	Strains	All
53	2	1	0.0	Rec_coeff	Strains	All
53	2	1	0.0	Par_coeff	Strains	All
56	1	3	0.0	Jaccard	Strains	Strict
56	1	3	0.0	Simpson	Strains	Strict
56	1	3	0.0	Braun	Strains	Strict
56	1	3	0.0	Rec_coeff	Strains	Strict
56	1	3	0.0	Par_coeff	Strains	Strict
56	1	16	0.0	Jaccard	Strains	All
56	1	16	0.0	Simpson	Strains	All
56	1	3	0.0	Braun	Strains	All
56	1	3	0.0	Rec_coeff	Strains	All
56	1	3	0.0	Par_coeff	Strains	All
60	2	2	0.0	Jaccard	Strains	Strict
60	2	2	0.0	Simpson	Strains	Strict
60	2	2	0.0	Braun	Strains	Strict
60	2	2	0.0	Rec_coeff	Strains	Strict
60	2	2	0.0	Par_coeff	Strains	Strict
60	2	2	0.0	Jaccard	Strains	All
60	2	2	0.0	Simpson	Strains	All
60	2	2	0.0	Braun	Strains	All
60	2	2	0.0	Rec_coeff	Strains	All
60	2	2	0.0	Par_coeff	Strains	All
62	13	27	0.21212121212121213	Jaccard	Strains	Strict
62	13	27	0.5384615384615384	Simpson	Strains	Strict
62	13	27	0.25925925925925924	Braun	Strains	Strict
62	13	27	0.5384615384615384	Rec_coeff	Strains	Strict
62	13	27	0.037037037037037035	Par_coeff	Strains	Strict
62	13	28	0.20588235294117646	Jaccard	Strains	All
62	13	28	0.5384615384615384	Simpson	Strains	All
62	13	27	0.25	Braun	Strains	All
62	13	27	0.5384615384615384	Rec_coeff	Strains	All
62	13	27	0.03571428571428571	Par_coeff	Strains	All
65	10	4	0.0	Jaccard	Strains	Strict
65	10	4	0.0	Simpson	Strains	Strict
65	10	4	0.0	Braun	Strains	Strict
65	10	4	0.0	Rec_coeff	Strains	Strict
65	10	4	0.0	Par_coeff	Strains	Strict
65	10	4	0.0	Jaccard	Strains	All
65	10	4	0.0	Simpson	Strains	All
65	10	4	0.0	Braun	Strains	All
65	10	4	0.0	Rec_coeff	Strains	All
65	10	4	0.0	Par_coeff	Strains	All
71	5	35	0.0	Jaccard	Strains	Strict
71	5	35	0.0	Simpson	Strains	Strict
71	5	35	0.0	Braun	Strains	Strict
71	5	35	0.0	Rec_coeff	Strains	Strict
71	5	35	0.0	Par_coeff	Strains	Strict
71	5	79	0.0	Jaccard	Strains	All
71	5	79	0.0	Simpson	Strains	All
71	5	35	0.0	Braun	Strains	All
71	5	35	0.0	Rec_coeff	Strains	All
71	5	35	0.0	Par_coeff	Strains	All
73	3	3	1.0	Jaccard	Strains	Strict
73	3	3	1.0	Simpson	Strains	Strict
73	3	3	1.0	Braun	Strains	Strict
73	3	3	1.0	Rec_coeff	Strains	Strict
73	3	3	0.0	Par_coeff	Strains	Strict
73	3	3	1.0	Jaccard	Strains	All
73	3	3	1.0	Simpson	Strains	All
73	3	3	1.0	Braun	Strains	All
73	3	3	1.0	Rec_coeff	Strains	All
73	3	3	0.0	Par_coeff	Strains	All
74	3	8	0.0	Jaccard	Strains	All
74	3	8	0.0	Simpson	Strains	All
74	3	0	0.0	Braun	Strains	All
74	3	0	0.0	Rec_coeff	Strains	All
74	3	0	0.0	Par_coeff	Strains	All
75	2	7	0.0	Jaccard	Strains	Strict
75	2	7	0.0	Simpson	Strains	Strict
75	2	7	0.0	Braun	Strains	Strict
75	2	7	0.0	Rec_coeff	Strains	Strict
75	2	7	0.0	Par_coeff	Strains	Strict
75	2	11	0.0	Jaccard	Strains	All
75	2	11	0.0	Simpson	Strains	All
75	2	7	0.0	Braun	Strains	All
75	2	7	0.0	Rec_coeff	Strains	All
75	2	7	0.09090909090909091	Par_coeff	Strains	All
78	5	9	0.0	Jaccard	Strains	Strict
78	5	9	0.0	Simpson	Strains	Strict
78	5	9	0.0	Braun	Strains	Strict
78	5	9	0.0	Rec_coeff	Strains	Strict
78	5	9	0.0	Par_coeff	Strains	Strict
78	5	28	0.0	Jaccard	Strains	All
78	5	28	0.0	Simpson	Strains	All
78	5	9	0.0	Braun	Strains	All
78	5	9	0.0	Rec_coeff	Strains	All
78	5	9	0.32142857142857145	Par_coeff	Strains	All
84	10	7	0.0	Jaccard	Strains	Strict
84	10	7	0.0	Simpson	Strains	Strict
84	10	7	0.0	Braun	Strains	Strict
84	10	7	0.0	Rec_coeff	Strains	Strict
84	10	7	0.0	Par_coeff	Strains	Strict
84	10	33	0.22857142857142856	Jaccard	Strains	All
84	10	33	0.8	Simpson	Strains	All
84	10	7	0.24242424242424243	Braun	Strains	All
84	10	7	0.8	Rec_coeff	Strains	All
84	10	7	0.12121212121212122	Par_coeff	Strains	All
87	7	20	0.038461538461538464	Jaccard	Strains	Strict
87	7	20	0.14285714285714285	Simpson	Strains	Strict
87	7	20	0.05	Braun	Strains	Strict
87	7	20	0.14285714285714285	Rec_coeff	Strains	Strict
87	7	20	0.05	Par_coeff	Strains	Strict
87	7	75	0.07894736842105263	Jaccard	Strains	All
87	7	75	0.8571428571428571	Simpson	Strains	All
87	7	20	0.08	Braun	Strains	All
87	7	20	0.8571428571428571	Rec_coeff	Strains	All
87	7	20	0.09333333333333334	Par_coeff	Strains	All
95	1	33	0.0	Jaccard	Strains	Strict
95	1	33	0.0	Simpson	Strains	Strict
95	1	33	0.0	Braun	Strains	Strict
95	1	33	0.0	Rec_coeff	Strains	Strict
95	1	33	0.0	Par_coeff	Strains	Strict
95	1	33	0.0	Jaccard	Strains	All
95	1	33	0.0	Simpson	Strains	All
95	1	33	0.0	Braun	Strains	All
95	1	33	0.0	Rec_coeff	Strains	All
95	1	33	0.0	Par_coeff	Strains	All
96	5	9	0.0	Jaccard	Strains	Strict
96	5	9	0.0	Simpson	Strains	Strict
96	5	9	0.0	Braun	Strains	Strict
96	5	9	0.0	Rec_coeff	Strains	Strict
96	5	9	0.0	Par_coeff	Strains	Strict
96	5	14	0.0	Jaccard	Strains	All
96	5	14	0.0	Simpson	Strains	All
96	5	9	0.0	Braun	Strains	All
96	5	9	0.0	Rec_coeff	Strains	All
96	5	9	0.0	Par_coeff	Strains	All
98	2	2	0.0	Jaccard	Strains	Strict
98	2	2	0.0	Simpson	Strains	Strict
98	2	2	0.0	Braun	Strains	Strict
98	2	2	0.0	Rec_coeff	Strains	Strict
98	2	2	0.0	Par_coeff	Strains	Strict
98	2	6	0.0	Jaccard	Strains	All
98	2	6	0.0	Simpson	Strains	All
98	2	2	0.0	Braun	Strains	All
98	2	2	0.0	Rec_coeff	Strains	All
98	2	2	0.0	Par_coeff	Strains	All
103	11	16	0.0	Jaccard	Strains	All
103	11	16	0.0	Simpson	Strains	All
103	11	0	0.0	Braun	Strains	All
103	11	0	0.0	Rec_coeff	Strains	All
103	11	0	0.0	Par_coeff	Strains	All
104	5	8	0.625	Jaccard	Strains	Strict
104	5	8	1.0	Simpson	Strains	Strict
104	5	8	0.625	Braun	Strains	Strict
104	5	8	1.0	Rec_coeff	Strains	Strict
104	5	8	0.0	Par_coeff	Strains	Strict
104	5	8	0.625	Jaccard	Strains	All
104	5	8	1.0	Simpson	Strains	All
104	5	8	0.625	Braun	Strains	All
104	5	8	1.0	Rec_coeff	Strains	All
104	5	8	0.0	Par_coeff	Strains	All
107	3	5	0.0	Jaccard	Strains	Strict
107	3	5	0.0	Simpson	Strains	Strict
107	3	5	0.0	Braun	Strains	Strict
107	3	5	0.0	Rec_coeff	Strains	Strict
107	3	5	0.0	Par_coeff	Strains	Strict
107	3	17	0.05263157894736842	Jaccard	Strains	All
107	3	17	0.3333333333333333	Simpson	Strains	All
107	3	5	0.058823529411764705	Braun	Strains	All
107	3	5	0.3333333333333333	Rec_coeff	Strains	All
107	3	5	0.29411764705882354	Par_coeff	Strains	All
109	10	24	0.030303030303030304	Jaccard	Strains	Strict
109	10	24	0.1	Simpson	Strains	Strict
109	10	24	0.041666666666666664	Braun	Strains	Strict
109	10	24	0.1	Rec_coeff	Strains	Strict
109	10	24	0.0	Par_coeff	Strains	Strict
109	10	24	0.030303030303030304	Jaccard	Strains	All
109	10	24	0.1	Simpson	Strains	All
109	10	24	0.041666666666666664	Braun	Strains	All
109	10	24	0.1	Rec_coeff	Strains	All
109	10	24	0.0	Par_coeff	Strains	All
112	7	3	0.0	Jaccard	Strains	Strict
112	7	3	0.0	Simpson	Strains	Strict
112	7	3	0.0	Braun	Strains	Strict
112	7	3	0.0	Rec_coeff	Strains	Strict
112	7	3	0.0	Par_coeff	Strains	Strict
112	7	4	0.0	Jaccard	Strains	All
112	7	4	0.0	Simpson	Strains	All
112	7	3	0.0	Braun	Strains	All
112	7	3	0.0	Rec_coeff	Strains	All
112	7	3	0.0	Par_coeff	Strains	All
113	4	3	0.0	Jaccard	Strains	Strict
113	4	3	0.0	Simpson	Strains	Strict
113	4	3	0.0	Braun	Strains	Strict
113	4	3	0.0	Rec_coeff	Strains	Strict
113	4	3	0.0	Par_coeff	Strains	Strict
113	4	3	0.0	Jaccard	Strains	All
113	4	3	0.0	Simpson	Strains	All
113	4	3	0.0	Braun	Strains	All
113	4	3	0.0	Rec_coeff	Strains	All
113	4	3	0.0	Par_coeff	Strains	All
119	1	3	0.0	Jaccard	Strains	Strict
119	1	3	0.0	Simpson	Strains	Strict
119	1	3	0.0	Braun	Strains	Strict
119	1	3	0.0	Rec_coeff	Strains	Strict
119	1	3	0.3333333333333333	Par_coeff	Strains	Strict
119	1	3	0.0	Jaccard	Strains	All
119	1	3	0.0	Simpson	Strains	All
119	1	3	0.0	Braun	Strains	All
119	1	3	0.0	Rec_coeff	Strains	All
119	1	3	0.3333333333333333	Par_coeff	Strains	All
0	1	4	0.0	Jaccard	Assemblies	Strict
0	1	4	0.0	Simpson	Assemblies	Strict
0	1	4	0.0	Braun	Assemblies	Strict
0	1	4	0.0	Rec_coeff	Assemblies	Strict
0	1	4	1.0	Par_coeff	Assemblies	Strict
0	1	4	0.0	Jaccard	Assemblies	All
0	1	4	0.0	Simpson	Assemblies	All
0	1	4	0.0	Braun	Assemblies	All
0	1	4	0.0	Rec_coeff	Assemblies	All
0	1	4	1.0	Par_coeff	Assemblies	All
