Group,Strain.Toxin,Host_type,num
Rank4,BT_Cry31Ac1,Orders,1
Rank4,BT_Cry31Ac1,Species,1
Rank4,BT_Cry31Ad1,Orders,1
Rank4,BT_Cry31Ad1,Species,1
Rank4,BT_Cry32Aa1,Orders,1
Rank4,BT_Cry32Aa1,Species,1
Rank4,BT_Cry32Eb1,Orders,1
Rank4,BT_Cry32Eb1,Species,1
Rank4,BT_Cry32Ha1,Orders,1
Rank4,BT_Cry32Ha1,Species,1
Rank4,BT_Cry32Hb1,Orders,1
Rank4,BT_Cry32Hb1,Species,2
Rank4,BT_Cry32Sa1,Orders,1
Rank4,BT_Cry32Sa1,Species,1
Rank4,BT_Cry39Aa1,Orders,1
Rank4,BT_Cry39Aa1,Species,2
Rank4,BT_Cry3Aa1,Orders,1
Rank4,BT_Cry3Aa1,Species,2
Rank4,BT_Cry3Aa10,Orders,1
Rank4,BT_Cry3Aa10,Species,1
Rank4,BT_Cry3Aa11,Orders,1
Rank4,BT_Cry3Aa11,Species,4
Rank4,BT_Cry3Aa12,Orders,1
Rank4,BT_Cry3Aa12,Species,3
Rank4,BT_Cry3Aa8,Orders,1
Rank4,BT_Cry3Aa8,Species,1
Rank4,BT_Cry3Ba1,Orders,1
Rank4,BT_Cry3Ba1,Species,2
Rank4,BT_Cry3Ba2,Orders,1
Rank4,BT_Cry3Ba2,Species,2
Rank4,BT_Cry3Bb1,Orders,1
Rank4,BT_Cry3Bb1,Species,2
Rank4,BT_Cry3Bb3,Orders,1
Rank4,BT_Cry3Bb3,Species,2
Rank4,BT_Cry3Ca1,Orders,1
Rank4,BT_Cry3Ca1,Species,3
Rank4,BT_Cry40Da1,Orders,1
Rank4,BT_Cry40Da1,Species,1
Rank4,BT_Cry41Aa1,Orders,1
Rank4,BT_Cry41Aa1,Species,1
Rank4,BT_Cry41Ab1,Orders,2
Rank4,BT_Cry41Ab1,Species,2
Rank4,BT_Cry42Aa1,Orders,1
Rank4,BT_Cry42Aa1,Species,1
Rank4,BT_Cry43Aa1,Orders,1
Rank4,BT_Cry43Aa1,Species,1
Rank4,BT_Cry43Ba1,Orders,1
Rank4,BT_Cry43Ba1,Species,1
Rank4,BT_Cry43Ca1,Orders,2
Rank4,BT_Cry43Ca1,Species,2
Rank4,BT_Cry43Cb1,Orders,2
Rank4,BT_Cry43Cb1,Species,3
Rank4,BT_Cry44Aa1,Orders,1
Rank4,BT_Cry44Aa1,Species,3
Rank4,BT_Cry47Aa1,Orders,1
Rank4,BT_Cry47Aa1,Species,1
Rank4,BT_Cry48Aa1,Orders,1
Rank4,BT_Cry48Aa1,Species,1
Rank4,BT_Cry4Aa1,Orders,1
Rank4,BT_Cry4Aa1,Species,3
Rank4,BT_Cry4Ba1,Orders,1
Rank4,BT_Cry4Ba1,Species,8
Rank4,BT_Cry4Ba2,Orders,1
Rank4,BT_Cry4Ba2,Species,1
Rank4,BT_Cry4Ba6,Orders,1
Rank4,BT_Cry4Ba6,Species,1
Rank4,BT_Cry4Cb1,Orders,2
Rank4,BT_Cry4Cb1,Species,3
Rank4,BT_Cry4Cb2,Orders,2
Rank4,BT_Cry4Cb2,Species,3
Rank4,BT_Cry4Cb3,Orders,1
Rank4,BT_Cry4Cb3,Species,1
Rank4,BT_Cry4Cc1,Orders,2
Rank4,BT_Cry4Cc1,Species,3
Rank4,BT_Cry52Ba1,Orders,1
Rank4,BT_Cry52Ba1,Species,1
Rank4,BT_Cry52Ca1,Orders,1
Rank4,BT_Cry52Ca1,Species,1
Rank4,BT_Cry53Ab1,Orders,2
Rank4,BT_Cry53Ab1,Species,3
Rank4,BT_Cry54Aa1,Orders,2
Rank4,BT_Cry54Aa1,Species,5
Rank4,BT_Cry54Ab1,Orders,1
Rank4,BT_Cry54Ab1,Species,1
Rank4,BT_Cry55Aa1,Orders,1
Rank4,BT_Cry55Aa1,Species,1
Rank4,BT_Cry56Aa1,Orders,2
Rank4,BT_Cry56Aa1,Species,3
Rank4,BT_Cry57Ab1,Orders,1
Rank4,BT_Cry57Ab1,Species,2
Rank4,BT_Cry59Ba1,Orders,2
Rank4,BT_Cry59Ba1,Species,2
Rank4,BT_Cry5Ba1,Orders,1
Rank4,BT_Cry5Ba1,Species,13
Rank4,BT_Cry5Ba2,Orders,1
Rank4,BT_Cry5Ba2,Species,3
Rank4,BT_Cry5Ba3,Orders,1
Rank4,BT_Cry5Ba3,Species,1
Rank4,BT_Cry5Ca1,Orders,1
Rank4,BT_Cry5Ca1,Species,2
Rank4,BT_Cry5Da1,Orders,1
Rank4,BT_Cry5Da1,Species,2
Rank4,BT_Cry62Aa1,Orders,1
Rank4,BT_Cry62Aa1,Species,1
Rank4,BT_Cry63Aa1,Orders,1
Rank4,BT_Cry63Aa1,Species,1
Rank4,BT_Cry65Aa2,Orders,1
Rank4,BT_Cry65Aa2,Species,1
Rank4,BT_Cry68Aa1,Orders,1
Rank4,BT_Cry68Aa1,Species,2
Rank4,BT_Cry69Aa1,Orders,2
Rank4,BT_Cry69Aa1,Species,4
Rank4,BT_Cry70Aa1,Orders,1
Rank4,BT_Cry70Aa1,Species,1
Rank4,BT_Cry70Ba1,Orders,1
Rank4,BT_Cry70Ba1,Species,1
Rank4,BT_Cry71Aa1,Orders,1
Rank4,BT_Cry71Aa1,Species,1
Rank4,BT_Cry72Aa1,Orders,1
Rank4,BT_Cry72Aa1,Species,1
Rank4,BT_Cry73Ba1,Orders,1
Rank4,BT_Cry73Ba1,Species,1
Rank4,BT_Cry7Aa1,Orders,1
Rank4,BT_Cry7Aa1,Species,3
Rank4,BT_Cry7Ab2,Orders,1
Rank4,BT_Cry7Ab2,Species,2
Rank4,BT_Cry7Ab3,Orders,1
Rank4,BT_Cry7Ab3,Species,1
Rank4,BT_Cry7Ab4,Orders,1
Rank4,BT_Cry7Ab4,Species,1
Rank4,BT_Cry7Ab9,Orders,1
Rank4,BT_Cry7Ab9,Species,1
Rank4,BT_Cry7Ba1,Orders,1
Rank4,BT_Cry7Ba1,Species,1
Rank4,BT_Cry7Ca1,Orders,1
Rank4,BT_Cry7Ca1,Species,2
Rank4,BT_Cry7Gb1,Orders,1
Rank4,BT_Cry7Gb1,Species,2
Rank4,BT_Cry8Aa1,Orders,1
Rank4,BT_Cry8Aa1,Species,2
Rank4,BT_Cry8Ab1,Orders,1
Rank4,BT_Cry8Ab1,Species,2
Rank4,BT_Cry8Ba1,Orders,1
Rank4,BT_Cry8Ba1,Species,2
Rank4,BT_Cry8Bb1,Orders,1
Rank4,BT_Cry8Bb1,Species,2
Rank4,BT_Cry8Bc1,Orders,1
Rank4,BT_Cry8Bc1,Species,1
Rank4,BT_Cry8Ca1,Orders,1
Rank4,BT_Cry8Ca1,Species,2
Rank4,BT_Cry8Ca2,Orders,1
Rank4,BT_Cry8Ca2,Species,3
Rank4,BT_Cry8Da1,Orders,1
Rank4,BT_Cry8Da1,Species,1
Rank4,BT_Cry8Db1,Orders,1
Rank4,BT_Cry8Db1,Species,3
Rank4,BT_Cry8Ea1,Orders,1
Rank4,BT_Cry8Ea1,Species,2
Rank4,BT_Cry8Ea2,Orders,1
Rank4,BT_Cry8Ea2,Species,3
Rank4,BT_Cry8Ga1,Orders,1
Rank4,BT_Cry8Ga1,Species,2
Rank4,BT_Cry8Ha1,Orders,1
Rank4,BT_Cry8Ha1,Species,4
Rank4,BT_Cry8Hb1,Orders,1
Rank4,BT_Cry8Hb1,Species,1
Rank4,BT_Cry8Ia1,Orders,1
Rank4,BT_Cry8Ia1,Species,1
Rank4,BT_Cry8Ka1,Orders,1
Rank4,BT_Cry8Ka1,Species,1
Rank4,BT_Cry8Ka3,Orders,1
Rank4,BT_Cry8Ka3,Species,1
Rank4,BT_Cry8Kb1,Orders,1
Rank4,BT_Cry8Kb1,Species,1
Rank4,BT_Cry8Na1,Orders,1
Rank4,BT_Cry8Na1,Species,1
Rank4,BT_Cry8Pa1,Orders,1
Rank4,BT_Cry8Pa1,Species,1
Rank4,BT_Cry8Pa3,Orders,1
Rank4,BT_Cry8Pa3,Species,1
Rank4,BT_Cry8Qa1,Orders,2
Rank4,BT_Cry8Qa1,Species,2
Rank4,BT_Cry8Sa1,Orders,1
Rank4,BT_Cry8Sa1,Species,1
Rank4,BT_Cry9Aa1,Orders,1
Rank4,BT_Cry9Aa1,Species,1
Rank4,BT_Cry9Aa2,Orders,1
Rank4,BT_Cry9Aa2,Species,3
Rank4,BT_Cry9Bb1,Orders,1
Rank4,BT_Cry9Bb1,Species,2
Rank4,BT_Cry9Ca1,Orders,1
Rank4,BT_Cry9Ca1,Species,11
Rank4,BT_Cry9Cb1,Orders,1
Rank4,BT_Cry9Cb1,Species,5
Rank4,BT_Cry9Da1,Orders,1
Rank4,BT_Cry9Da1,Species,2
Rank4,BT_Cry9Db1,Orders,1
Rank4,BT_Cry9Db1,Species,1
Rank4,BT_Cry9Ea10,Orders,1
Rank4,BT_Cry9Ea10,Species,1
Rank4,BT_Cry9Eb1,Orders,1
Rank4,BT_Cry9Eb1,Species,2
Rank4,BT_Cry9Eb2,Orders,1
Rank4,BT_Cry9Eb2,Species,2
Rank4,BT_Cry9Ec1,Orders,1
Rank4,BT_Cry9Ec1,Species,2
Rank4,BT_Cry9Ed1,Orders,1
Rank4,BT_Cry9Ed1,Species,1
Rank4,BT_Cry9Ee1,Orders,1
Rank4,BT_Cry9Ee1,Species,2
Rank4,BT_Cry9Ee2,Orders,1
Rank4,BT_Cry9Ee2,Species,1
Rank4,BT_Cry9Ga1,Orders,1
Rank4,BT_Cry9Ga1,Species,3
Rank4,BT_CryAb2,Orders,1
Rank4,BT_CryAb2,Species,1
Rank4,BT_Cy1Hc1,Orders,1
Rank4,BT_Cy1Hc1,Species,2
Rank4,NOV_Cry10Aa1_94.4_ABW89736.1,Orders,1
Rank4,NOV_Cry10Aa1_94.4_ABW89736.1,Species,1
Rank4,NOV_Cry10Aa1_97.0_ABW89733.1,Orders,1
Rank4,NOV_Cry10Aa1_97.0_ABW89733.1,Species,1
Rank4,NOV_Cry11Aa1_95.8_ABW89741.1,Orders,1
Rank4,NOV_Cry11Aa1_95.8_ABW89741.1,Species,1
Rank4,NOV_Cry11Aa1_96.3_ABW89742.1,Orders,1
Rank4,NOV_Cry11Aa1_96.3_ABW89742.1,Species,1
Rank4,NOV_Cry11Aa1_97.8_ABW89740.1,Orders,1
Rank4,NOV_Cry11Aa1_97.8_ABW89740.1,Species,1
Rank4,NOV_Cry11Aa1_98.8_ABW89738.1,Orders,1
Rank4,NOV_Cry11Aa1_98.8_ABW89738.1,Species,1
Rank4,NOV_Cry11Aa1_98.9_ABW89739.1,Orders,1
Rank4,NOV_Cry11Aa1_98.9_ABW89739.1,Species,1
Rank4,NOV_Cry11Aa1_99.5_ABW89737.1,Orders,1
Rank4,NOV_Cry11Aa1_99.5_ABW89737.1,Species,1
Rank4,NOV_Cry13Aa1_87.1_ANS50148.1,Orders,1
Rank4,NOV_Cry13Aa1_87.1_ANS50148.1,Species,1
Rank4,NOV_Cry14Aa1_41.1_PGW46198.1,Orders,1
Rank4,NOV_Cry14Aa1_41.1_PGW46198.1,Species,1
Rank4,NOV_Cry14Ab1_42.4_PGW46196.1,Orders,2
Rank4,NOV_Cry14Ab1_42.4_PGW46196.1,Species,2
Rank4,NOV_Cry1Ab12_91.4_AAK14338.1,Orders,1
Rank4,NOV_Cry1Ab12_91.4_AAK14338.1,Species,1
Rank4,NOV_Cry1Ab32_92.7_AAK14337.1,Orders,1
Rank4,NOV_Cry1Ab32_92.7_AAK14337.1,Species,3
Rank4,NOV_Cry1Ai1_99.7_AAS93796.1,Orders,1
Rank4,NOV_Cry1Ai1_99.7_AAS93796.1,Species,1
Rank4,NOV_Cry1Da1_99.6_ALP83513.1,Orders,1
Rank4,NOV_Cry1Da1_99.6_ALP83513.1,Species,1
Rank4,NOV_Cry1Da3_99.9_AMR88578.1,Orders,1
Rank4,NOV_Cry1Da3_99.9_AMR88578.1,Species,2
Rank4,NOV_Cry1Fb4_99.8_AMR88428.1,Orders,1
Rank4,NOV_Cry1Fb4_99.8_AMR88428.1,Species,2
Rank4,NOV_Cry1Hb1_98.0_AMR88562.1,Orders,1
Rank4,NOV_Cry1Hb1_98.0_AMR88562.1,Species,1
Rank4,NOV_Cry1Ka1_98.4_KIP24267.1,Orders,1
Rank4,NOV_Cry1Ka1_98.4_KIP24267.1,Species,1
Rank4,NOV_Cry20Ba2_80.0_AGV55017.1,Orders,1
Rank4,NOV_Cry20Ba2_80.0_AGV55017.1,Species,1
Rank4,NOV_Cry2Ak1_76.8_AX513524.1,Orders,1
Rank4,NOV_Cry2Ak1_76.8_AX513524.1,Species,4
Rank4,NOV_Cry2Ba1_29.9_AEX63666.1,Orders,1
Rank4,NOV_Cry2Ba1_29.9_AEX63666.1,Species,1
Rank4,NOV_Cry3Aa12_81.9_AEZ53144.1,Orders,1
Rank4,NOV_Cry3Aa12_81.9_AEZ53144.1,Species,1
Rank4,NOV_Cry40Aa1_67.9_CQ868314.1,Orders,2
Rank4,NOV_Cry40Aa1_67.9_CQ868314.1,Species,2
Rank4,NOV_Cry40Da1_65.0_CAH33957.1 ,Orders,1
Rank4,NOV_Cry40Da1_65.0_CAH33957.1 ,Species,1
Rank4,NOV_Cry48Aa1_36.6_CAH33948.1,Orders,2
Rank4,NOV_Cry48Aa1_36.6_CAH33948.1,Species,3
Rank4,NOV_Cry48Aa1_36.9_CAH33950.1,Orders,2
Rank4,NOV_Cry48Aa1_36.9_CAH33950.1,Species,2
Rank4,NOV_Cry4Ba1_96.9_ABR22239.1,Orders,1
Rank4,NOV_Cry4Ba1_96.9_ABR22239.1,Species,1
Rank4,NOV_Cry4Ba1_98.1_ABR22240.1,Orders,1
Rank4,NOV_Cry4Ba1_98.1_ABR22240.1,Species,1
Rank4,NOV_Cry4Ba1_98.5_ABR22238.1,Orders,1
Rank4,NOV_Cry4Ba1_98.5_ABR22238.1,Species,1
Rank4,NOV_Cry4Ba1_98.9_ABR22236.1,Orders,1
Rank4,NOV_Cry4Ba1_98.9_ABR22236.1,Species,1
Rank4,NOV_Cry4Ba1_98.9_ABR22237.1,Orders,1
Rank4,NOV_Cry4Ba1_98.9_ABR22237.1,Species,1
Rank4,NOV_Cry4Ba1_99.6_ABR22235.1,Orders,1
Rank4,NOV_Cry4Ba1_99.6_ABR22235.1,Species,1
Rank4,NOV_Cry53Ab1_40.0_CAH33955.1,Orders,3
Rank4,NOV_Cry53Ab1_40.0_CAH33955.1,Species,4
Rank4,NOV_Cry56Aa2_56.0_AGV55019.1,Orders,1
Rank4,NOV_Cry56Aa2_56.0_AGV55019.1,Species,1
Rank4,NOV_Cry69Ab1_58.0_PER42111.1,Orders,1
Rank4,NOV_Cry69Ab1_58.0_PER42111.1,Species,2
Rank4,NOV_Cry71Aa1_65.9_PER41598.1,Orders,1
Rank4,NOV_Cry71Aa1_65.9_PER41598.1,Species,1
Rank4,NOV_Cry7Ha1_99.5_ADA48966.1,Orders,1
Rank4,NOV_Cry7Ha1_99.5_ADA48966.1,Species,2
Rank4,NOV_Cry9Db1_99.9_ACS12637.1,Orders,1
Rank4,NOV_Cry9Db1_99.9_ACS12637.1,Species,1
Rank4,NOV_Cry9Ga1_57.2_PER39584.1,Orders,2
Rank4,NOV_Cry9Ga1_57.2_PER39584.1,Species,4
Strains,147,Orders,2
Strains,147,Species,2
Strains,163-131,Orders,1
Strains,163-131,Species,3
Strains,2173,Orders,1
Strains,2173,Species,1
Strains,47-6B,Orders,1
Strains,47-6B,Species,1
Strains,4M1,Orders,1
Strains,4M1,Species,2
Strains,92-KU-149-8,Orders,1
Strains,92-KU-149-8,Species,1
Strains,96-OK-85-24,Orders,1
Strains,96-OK-85-24,Species,2
Strains,AM65-52,Orders,1
Strains,AM65-52,Species,3
Strains,ATCC 14706,Orders,1
Strains,ATCC 14706,Species,1
Strains,B-Pr-88,Orders,1
Strains,B-Pr-88,Species,1
Strains,BGSC 4A4,Orders,1
Strains,BGSC 4A4,Species,2
Strains,BGSC 4AA1,Orders,1
Strains,BGSC 4AA1,Species,2
Strains,BGSC 4AW1,Orders,1
Strains,BGSC 4AW1,Species,1
Strains,BGSC 4AX1,Orders,1
Strains,BGSC 4AX1,Species,1
Strains,BGSC 4C1,Orders,1
Strains,BGSC 4C1,Species,4
Strains,BGSC 4K1,Orders,1
Strains,BGSC 4K1,Species,1
Strains,BGSC 4L3,Orders,1
Strains,BGSC 4L3,Species,2
Strains,BGSC 4N1,Orders,1
Strains,BGSC 4N1,Species,1
Strains,BGSC 4O1,Orders,1
Strains,BGSC 4O1,Species,2
Strains,BGSC 4Q1,Orders,2
Strains,BGSC 4Q1,Species,2
Strains,BGSC 4U1,Orders,1
Strains,BGSC 4U1,Species,1
Strains,BLB1,Orders,1
Strains,BLB1,Species,1
Strains,BM59-2,Orders,1
Strains,BM59-2,Species,1
Strains,BNS3,Orders,2
Strains,BNS3,Species,5
Strains,BRC-XQ12,Orders,1
Strains,BRC-XQ12,Species,1
Strains,Bt18247,Orders,1
Strains,Bt18247,Species,1
Strains,Bt185,Orders,1
Strains,Bt185,Species,1
Strains,BT62,Orders,1
Strains,BT62,Species,1
Strains,BTS01099E,Orders,1
Strains,BTS01099E,Species,3
Strains,BtS02072BG,Orders,1
Strains,BtS02072BG,Species,4
Strains,BtS02739C,Orders,1
Strains,BtS02739C,Species,3
Strains,BTS02761A,Orders,1
Strains,BTS02761A,Species,4
Strains,btsu4,Orders,1
Strains,btsu4,Species,4
Strains,Buibui,Orders,1
Strains,Buibui,Species,2
Strains,Bun1-14,Orders,1
Strains,Bun1-14,Species,1
Strains,BUPM109,Orders,1
Strains,BUPM109,Species,1
Strains,C-33,Orders,1
Strains,C-33,Species,1
Strains,C15,Orders,1
Strains,C15,Species,1
Strains,C18,Orders,4
Strains,C18,Species,15
Strains,CIB 163-131,Orders,1
Strains,CIB 163-131,Species,2
Strains,CT-43,Orders,1
Strains,CT-43,Species,1
Strains,DAB-Bt1,Orders,1
Strains,DAB-Bt1,Species,1
Strains,DAB-Bt2,Orders,1
Strains,DAB-Bt2,Species,1
Strains,DAB-Bt3,Orders,1
Strains,DAB-Bt3,Species,1
Strains,DAB-Bt4,Orders,1
Strains,DAB-Bt4,Species,1
Strains,DAB-Bt5,Orders,1
Strains,DAB-Bt5,Species,1
Strains,DAB-Bt6,Orders,1
Strains,DAB-Bt6,Species,1
Strains,DB27,Orders,1
Strains,DB27,Species,1
Strains,DP1019,Orders,1
Strains,DP1019,Species,1
Strains,FCC41,Orders,1
Strains,FCC41,Species,5
Strains,G25-128,Orders,1
Strains,G25-128,Species,1
Strains,G25-18,Orders,1
Strains,G25-18,Species,1
Strains,G25-3,Orders,1
Strains,G25-3,Species,1
Strains,G25-41,Orders,1
Strains,G25-41,Species,1
Strains,G25-42,Orders,1
Strains,G25-42,Species,1
Strains,G25-43,Orders,1
Strains,G25-43,Species,1
Strains,G25-44,Orders,1
Strains,G25-44,Species,1
Strains,G25-46,Orders,1
Strains,G25-46,Species,1
Strains,G25-47,Orders,1
Strains,G25-47,Species,1
Strains,G25-50,Orders,1
Strains,G25-50,Species,1
Strains,G25-6,Orders,1
Strains,G25-6,Species,1
Strains,G25-7,Orders,1
Strains,G25-7,Species,1
Strains,G25-76,Orders,1
Strains,G25-76,Species,1
Strains,G25-78,Orders,1
Strains,G25-78,Species,1
Strains,G25-85,Orders,1
Strains,G25-85,Species,1
Strains,G25-87,Orders,1
Strains,G25-87,Species,1
Strains,G25-91,Orders,1
Strains,G25-91,Species,1
Strains,G25-93,Orders,1
Strains,G25-93,Species,1
Strains,G25-96,Orders,1
Strains,G25-96,Species,1
Strains,G25-97,Orders,1
Strains,G25-97,Species,1
Strains,GM33,Orders,1
Strains,GM33,Species,2
Strains,GR007,Orders,1
Strains,GR007,Species,2
Strains,H1,Orders,1
Strains,H1,Species,1
Strains,HD-1,Orders,1
Strains,HD-1,Species,7
Strains,HD-110,Orders,2
Strains,HD-110,Species,6
Strains,HD-2,Orders,3
Strains,HD-2,Species,5
Strains,HD-68,Orders,1
Strains,HD-68,Species,1
Strains,HD12,Orders,1
Strains,HD12,Species,1
Strains,HD29,Orders,2
Strains,HD29,Species,5
Strains,HD37,Orders,1
Strains,HD37,Species,3
Strains,HD5,Orders,1
Strains,HD5,Species,2
Strains,HD521,Orders,1
Strains,HD521,Species,1
Strains,HD73,Orders,1
Strains,HD73,Species,4
Strains,HD867,Orders,1
Strains,HD867,Species,1
Strains,higo,Orders,1
Strains,higo,Species,3
Strains,HS18-1,Orders,3
Strains,HS18-1,Species,3
Strains,HYW-8,Orders,1
Strains,HYW-8,Species,1
Strains,IAB59,Orders,1
Strains,IAB59,Species,1
Strains,INA288,Orders,1
Strains,INA288,Species,3
Strains,INTA Fr7-4,Orders,1
Strains,INTA Fr7-4,Species,1
Strains,INTA H4-3,Orders,1
Strains,INTA H4-3,Species,1
Strains,INTA Mo1-12,Orders,1
Strains,INTA Mo1-12,Species,1
Strains,INTA TA24-6,Orders,1
Strains,INTA TA24-6,Species,1
Strains,IPPBIOTSUC-C9F1,Orders,1
Strains,IPPBIOTSUC-C9F1,Species,2
Strains,JC291,Orders,1
Strains,JC291,Species,2
Strains,jegathesan 367,Orders,1
Strains,jegathesan 367,Species,3
Strains,JF21-1,Orders,1
Strains,JF21-1,Species,1
Strains,JW-1,Orders,1
Strains,JW-1,Species,1
Strains,KBAB4,Orders,1
Strains,KBAB4,Species,1
Strains,L366,Orders,1
Strains,L366,Species,2
Strains,LBIT-107,Orders,1
Strains,LBIT-107,Species,1
Strains,LBIT-418,Orders,1
Strains,LBIT-418,Species,2
Strains,Lip,Orders,1
Strains,Lip,Species,1
Strains,LP1-G,Orders,1
Strains,LP1-G,Species,1
Strains,LP1G,Orders,1
Strains,LP1G,Species,1
Strains,MC28,Orders,2
Strains,MC28,Species,4
Strains,MEB4,Orders,1
Strains,MEB4,Species,1
Strains,mogi K4,Orders,1
Strains,mogi K4,Species,3
Strains,MYBT18246,Orders,1
Strains,MYBT18246,Species,1
Strains,N141,Orders,1
Strains,N141,Species,1
Strains,NA205-3,Orders,1
Strains,NA205-3,Species,1
Strains,NBIN-866,Orders,1
Strains,NBIN-866,Species,1
Strains,NHA15b,Orders,1
Strains,NHA15b,Species,1
Strains,NT0423,Orders,1
Strains,NT0423,Species,1
Strains,PS158C2,Orders,1
Strains,PS158C2,Species,2
Strains,PS17,Orders,1
Strains,PS17,Species,3
Strains,PS63B,Orders,1
Strains,PS63B,Species,1
Strains,PS80JJ1,Orders,1
Strains,PS80JJ1,Species,1
Strains,PS81F,Orders,1
Strains,PS81F,Species,1
Strains,PS81I,Orders,1
Strains,PS81I,Species,3
Strains,PS86Q3,Orders,1
Strains,PS86Q3,Species,3
Strains,QZL38,Orders,1
Strains,QZL38,Species,1
Strains,R36,Orders,1
Strains,R36,Species,1
Strains,S2096-2,Orders,1
Strains,S2096-2,Species,1
Strains,S2160-1,Orders,1
Strains,S2160-1,Species,2
Strains,S2480-1,Orders,2
Strains,S2480-1,Species,2
Strains,S725,Orders,1
Strains,S725,Species,1
Strains,Sbt003,Orders,2
Strains,Sbt003,Species,3
Strains,SCG04-02,Orders,1
Strains,SCG04-02,Species,1
Strains,SP41,Orders,1
Strains,SP41,Species,3
Strains,SSy111-c,Orders,1
Strains,SSy111-c,Species,3
Strains,SSy125-c,Orders,1
Strains,SSy125-c,Species,3
Strains,SSy126-c,Orders,1
Strains,SSy126-c,Species,3
Strains,SSy141-c,Orders,1
Strains,SSy141-c,Species,3
Strains,SSy60-b,Orders,1
Strains,SSy60-b,Species,3
Strains,SSy77,Orders,1
Strains,SSy77,Species,3
Strains,ST8,Orders,1
Strains,ST8,Species,2
Strains,SY49-1,Orders,3
Strains,SY49-1,Species,4
Strains,T0131,Orders,1
Strains,T0131,Species,2
Strains,T0137,Orders,1
Strains,T0137,Species,2
Strains,T0139,Orders,1
Strains,T0139,Species,2
Strains,x023,Orders,1
Strains,x023,Species,2
Strains,X023PN,Orders,1
Strains,X023PN,Species,2
Strains,YBT-020,Orders,1
Strains,YBT-020,Species,1
Strains,YBT-032,Orders,1
Strains,YBT-032,Species,1
Strains,YBT-1518,Orders,1
Strains,YBT-1518,Species,1
Strains,YBT-1520,Orders,1
Strains,YBT-1520,Species,2
Strains,YC-10,Orders,1
Strains,YC-10,Species,1
